x,y,y_salted_small,y_salted_medium,y_salted_large
1.0,2.0,4.102337548448987,-1.630824693103385,-29.32937302123614
2.0,4.0,-0.5346997166126435,-1.40456775766922,42.23597290725486
3.0,6.0,6.560135971486694,18.311358044765782,37.80019361939918
4.0,8.0,12.466179781771544,23.331864272523276,-6.013705237894833
5.0,10.0,8.54165154655919,-3.6359976771012414,-16.010747563768742
6.0,12.0,7.213709649396929,8.941488895283449,32.18513434837901
7.0,14.0,16.165077850925357,6.249295178251899,14.307970446765381
8.0,16.0,15.732932784989773,16.52133763181859,-12.106352284775504
9.0,18.0,16.609245700970945,20.933880626995858,-8.970762138307247
10.0,20.0,21.984380162610027,19.54781451626401,7.698636628351288
11.0,22.0,20.26273360417476,18.78425787386752,12.115044679653657
12.0,24.0,19.208357524424827,17.484096492260583,35.912437441417346
13.0,26.0,21.93339785587056,32.5424522332181,1.6946676961162233
14.0,28.0,27.769940948801008,15.70149267797747,10.31864087375859
15.0,30.0,29.212419446648948,44.212711301337684,4.553124827470452
16.0,32.0,31.430953610332907,25.763196051625922,69.27761894007203
17.0,34.0,30.414246835712383,37.73488183470634,6.328655025479939
18.0,36.0,39.76237149286629,51.436787035035316,73.52531313573864
19.0,38.0,35.456686996370145,52.40735177507678,69.51278820245524
20.0,40.0,41.638581556931996,36.004029439481414,18.016010212664867
21.0,42.0,45.65271161411824,33.91966242501749,15.756873049176608
22.0,44.0,44.08188880666669,51.96824618437605,14.56947803700444
23.0,46.0,50.04985118700784,61.445016860428844,29.152707323049526
24.0,48.0,50.40359189076419,60.94126530647215,42.71679048650363
25.0,50.0,48.91070808035004,57.78373253724888,58.24839733435297
26.0,52.0,55.96253101221511,44.518776747123326,7.7670957895182955
27.0,54.0,58.75917088581215,48.67295588104922,60.196515366011745
28.0,56.0,51.87269412477496,60.89538754624729,86.44635032435349
29.0,58.0,57.54523063293847,45.09358503261819,35.66126208573776
30.0,60.0,60.67147797419294,50.773889350386206,42.133341276753
31.0,62.0,64.67440536883788,81.09506231331365,23.422660041025757
32.0,64.0,60.93645278356772,63.10767677947203,25.320082928311102
33.0,66.0,65.51706504713376,46.080369295701914,57.93476313157267
34.0,68.0,63.83172454881573,59.07611698830276,47.972408615565605
35.0,70.0,67.51343469476929,65.77995514831314,88.78460391679093
36.0,72.0,75.88963150875833,53.5003107499369,101.41949187764425
37.0,74.0,78.9206071600886,85.80229771097113,38.86001347482965
38.0,76.0,72.39780050210175,78.10644688795006,30.652378715807536
39.0,78.0,77.7510784440996,75.56314200422537,57.30580880303781
40.0,80.0,81.56742929019539,61.456062000385046,48.79369428244759
41.0,82.0,78.51446026863624,92.82297174921828,46.70477376053091
42.0,84.0,84.30181229555613,96.1823947657418,75.2828256507572
43.0,86.0,86.32520043535513,88.63578396840074,102.47591496476421
