Start Value:1.0
End Value:200001.0
Interval:50.0
Fixed Side:204.0

variableSide,hypotenuse
1.00,204.00
51.00,210.28
101.00,227.63
151.00,253.81
201.00,286.39
251.00,323.45
301.00,363.62
351.00,405.98
401.00,449.91
451.00,494.99
501.00,540.94
551.00,587.55
601.00,634.68
651.00,682.21
701.00,730.08
751.00,778.21
801.00,826.57
851.00,875.11
901.00,923.81
951.00,972.63
1001.00,1021.58
1051.00,1070.62
1101.00,1119.74
1151.00,1168.94
1201.00,1218.20
1251.00,1267.52
1301.00,1316.90
1351.00,1366.32
1401.00,1415.77
1451.00,1465.27
1501.00,1514.80
1551.00,1564.36
1601.00,1613.94
1651.00,1663.56
1701.00,1713.19
1751.00,1762.84
1801.00,1812.52
1851.00,1862.21
1901.00,1911.91
1951.00,1961.64
2001.00,2011.37
2051.00,2061.12
2101.00,2110.88
2151.00,2160.65
2201.00,2210.43
2251.00,2260.22
2301.00,2310.03
2351.00,2359.83
2401.00,2409.65
2451.00,2459.47
2501.00,2509.31
2551.00,2559.14
2601.00,2608.99
2651.00,2658.84
2701.00,2708.69
2751.00,2758.55
2801.00,2808.42
2851.00,2858.29
2901.00,2908.16
2951.00,2958.04
3001.00,3007.93
3051.00,3057.81
3101.00,3107.70
3151.00,3157.60
3201.00,3207.49
3251.00,3257.39
3301.00,3307.30
3351.00,3357.20
3401.00,3407.11
3451.00,3457.02
3501.00,3506.94
3551.00,3556.85
3601.00,3606.77
3651.00,3656.69
3701.00,3706.62
3751.00,3756.54
3801.00,3806.47
3851.00,3856.40
3901.00,3906.33
3951.00,3956.26
4001.00,4006.20
4051.00,4056.13
4101.00,4106.07
4151.00,4156.01
4201.00,4205.95
4251.00,4255.89
4301.00,4305.84
4351.00,4355.78
4401.00,4405.73
4451.00,4455.67
4501.00,4505.62
4551.00,4555.57
4601.00,4605.52
4651.00,4655.47
4701.00,4705.42
4751.00,4755.38
4801.00,4805.33
4851.00,4855.29
4901.00,4905.24
4951.00,4955.20
5001.00,5005.16
5051.00,5055.12
5101.00,5105.08
5151.00,5155.04
5201.00,5205.00
5251.00,5254.96
5301.00,5304.92
5351.00,5354.89
5401.00,5404.85
5451.00,5454.82
5501.00,5504.78
5551.00,5554.75
5601.00,5604.71
5651.00,5654.68
5701.00,5704.65
5751.00,5754.62
5801.00,5804.59
5851.00,5854.56
