Start Value:1.0
End Value:5001.0
Interval:5.0
Fixed Side:204.0

variableSide,hypotenuse
1.00,204.00
6.00,204.09
11.00,204.30
16.00,204.63
21.00,205.08
26.00,205.65
31.00,206.34
36.00,207.15
41.00,208.08
46.00,209.12
51.00,210.28
56.00,211.55
61.00,212.92
66.00,214.41
71.00,216.00
76.00,217.70
81.00,219.49
86.00,221.39
91.00,223.38
96.00,225.46
101.00,227.63
106.00,229.90
111.00,232.24
116.00,234.67
121.00,237.19
126.00,239.77
131.00,242.44
136.00,245.18
141.00,247.99
146.00,250.86
151.00,253.81
156.00,256.81
161.00,259.88
166.00,263.01
171.00,266.19
176.00,269.43
181.00,272.72
186.00,276.07
191.00,279.46
196.00,282.90
201.00,286.39
206.00,289.92
211.00,293.49
216.00,297.11
221.00,300.76
226.00,304.45
231.00,308.18
236.00,311.95
241.00,315.75
246.00,319.58
251.00,323.45
256.00,327.34
261.00,331.27
266.00,335.22
271.00,339.20
276.00,343.21
281.00,347.24
286.00,351.30
291.00,355.38
296.00,359.49
301.00,363.62
306.00,367.77
311.00,371.94
316.00,376.13
321.00,380.34
326.00,384.57
331.00,388.81
336.00,393.08
341.00,397.36
346.00,401.66
351.00,405.98
356.00,410.31
361.00,414.65
366.00,419.01
371.00,423.39
376.00,427.78
381.00,432.18
386.00,436.59
391.00,441.02
396.00,445.46
401.00,449.91
406.00,454.37
411.00,458.84
416.00,463.33
421.00,467.82
426.00,472.33
431.00,476.84
436.00,481.36
441.00,485.90
446.00,490.44
451.00,494.99
456.00,499.55
461.00,504.12
466.00,508.70
471.00,513.28
476.00,517.87
481.00,522.47
486.00,527.08
491.00,531.69
496.00,536.31
501.00,540.94
506.00,545.57
511.00,550.22
516.00,554.86
521.00,559.51
526.00,564.17
531.00,568.84
536.00,573.51
541.00,578.18
546.00,582.87
551.00,587.55
556.00,592.24
561.00,596.94
566.00,601.64
571.00,606.35
576.00,611.06
581.00,615.77
586.00,620.49
591.00,625.22
596.00,629.95
601.00,634.68
606.00,639.42
611.00,644.16
616.00,648.90
621.00,653.65
626.00,658.40
631.00,663.16
636.00,667.92
641.00,672.68
646.00,677.45
651.00,682.21
656.00,686.99
661.00,691.76
666.00,696.54
671.00,701.33
676.00,706.11
681.00,710.90
686.00,715.69
691.00,720.48
696.00,725.28
701.00,730.08
706.00,734.88
711.00,739.69
716.00,744.49
721.00,749.30
726.00,754.12
