X,Original_Y,Salted_Y,Smoothed_Y_1,Smoothed_Y_2,Smoothed_Y_3,Smoothed_Y_4,Smoothed_Y_5
0,0,5.376671395461,5.43719653376415,5.59039904273869,6.78508193226855,8.19689498947449,9.53923154298895
1,2,20.3388501459509,6.58728770672928,5.88869662326131,7.59763315763782,8.96413104548527,10.2429598228604
2,4,-18.5884686100365,4.97659259509894,6.83625499245035,8.58909973131947,9.93453681898726,11.0965480758092
3,6,14.6217332036812,5.3605193353624,8.82497707062386,9.81576513667214,11.0613633180088,12.0727844778365
4,8,11.1876523985898,7.08188694535176,10.8478380591149,12.0330752695284,13.0578729423462,13.8548541267013
5,10,-3.07688296305273,11.5740468383956,13.5464325997277,14.7865656864972,15.3644893405531,15.9159407794847
6,12,7.66407977694316,20.7573095396649,17.1757575687881,17.8223223121378,17.9302028900007,18.203575947083
7,14,17.4262446653865,19.5972234532011,21.1115699727325,20.7606493026304,20.671382531528,20.6627709787454
8,16,51.7839693972576,25.4774494910195,25.1631295420431,23.7439479450862,23.3917376149692,23.1426718241166
9,18,45.6943702988488,30.3818673785215,28.0865513719342,26.5490945774527,25.9479829921749,25.5701963193858
10,20,6.50113059843479,32.911206162973,29.3932660040722,29.0040226273636,28.2757285396457,27.8852634755118
11,22,52.3492346633185,35.4428039305265,31.7309285563055,31.0755608536163,30.4171788599445,30.0489409758172
12,24,31.2540422494611,32.0379996476328,33.182459026293,32.6802833269371,32.3571608074379,32.0589826523088
13,26,25.3694512681034,29.9043119646311,34.3602539181646,34.116541144434,34.1356729828822,33.9473609571595
14,28,35.147429038261,35.960861318834,35.6123375565018,35.7508015447214,35.8171250336658,35.758663802167
15,30,27.9503394170023,35.638162780932,36.3961868552884,37.3238215775403,37.4620293504105,37.5231371003603
16,32,30.7585565178369,38.6264316216227,38.1403560944125,38.9986798055629,39.1666311261298,39.2720793390233
17,34,48.8969760778546,41.6757916313338,40.833088806084,40.7741869828485,40.9548484546983,41.0248582391274
18,36,50.0903448980048,40.9297490220322,42.742068786038,42.5898910708294,42.7684919472973,42.7857666592758
19,38,52.1719241342961,44.2471843215016,44.906466622451,44.6124957569719,44.5997564780794,44.5458389943228
20,40,46.7149713360808,48.7534409463317,46.7888041591639,46.6340624444138,46.4051252836109,46.2720950498813
21,42,29.9251307731496,49.3237211785121,48.3222661723684,48.446305992914,48.1434839747046,47.9251170943485
22,44,51.1723865132884,50.7889476358227,50.5544196582856,50.142673293015,49.7825356957391,49.4759790681077
23,46,62.3023528916473,51.8027943786136,52.2913229065057,51.6362614442839,51.2504235150397,50.8999908583417
24,48,52.8889377031179,52.4100257237649,53.5187936455854,52.9426978205039,52.5260027659689,52.1854715918071
25,50,60.3469300991786,56.554823423453,54.6166398867452,54.0632531180709,53.6245257636112,53.334925863576
26,52,59.2688513338324,56.4055070590423,55.3615836813329,54.8877104920765,54.5678390097175,54.3679287913827
27,54,50.9655907521398,57.3457361198893,55.933858792704,55.5631172009178,55.403490417869,55.3278922316207
28,56,58.9387146709666,57.0086448666308,56.1661532553373,56.1359669764102,56.1896638770867,56.2695928712785
29,58,50.1271719624136,56.0035541979367,56.3256212763251,56.7458660157593,57.0135561903862,57.2544725232537
30,60,68.8839563175764,55.8087201582108,57.0191698683949,57.4858213013442,57.9701675967055,58.3420447975069
31,62,50.5292989303085,54.0360869621981,57.5287420740321,58.4459120350281,59.1179072435737,59.5847587396517
32,64,53.3112954183197,57.6710995703673,58.8859331621887,59.830499311167,60.518683327437,61.023319613415
33,66,57.9050130557512,61.2603472035314,60.541270680427,61.5839903363119,62.18084492949,62.6743801061152
34,68,38.557158380051,60.9127415593495,62.6544939284913,63.5972947289952,64.1024880128825,64.5330429468215
35,70,84.383802928151,66.5089824837272,65.85826418831,65.9413995634529,66.2595899934304,66.5802911121869
36,72,75.251905394562,67.5909168256048,68.6000584523393,68.3809972301309,68.5709796392871,68.7807529481006
37,74,66.450716808303,70.6012828946611,71.1123006171781,70.9373228850915,70.98080748165,71.0976153589261
38,76,89.7029854009523,76.462478780929,73.9374759152357,73.545625898863,73.4486444011313,73.4908679113315
39,78,60.884835811463,76.8636594185724,75.9631168289351,76.0102268321645,75.9219161788328,75.9209586979002
40,80,78.9775755391451,78.8460423574027,78.4355502651508,78.4527852328522,78.3988818052688,78.3612331848788
41,82,79.5855295839264,80.6889686457531,80.9126150248919,80.8721531653642,80.85525587972,80.7891099581877
42,84,87.192067391655,80.6884688796224,83.1104707214207,83.2543020073633,83.270225499411,83.1860287634186
43,86,89.1285859663743,84.8979508791147,85.6979672571533,85.7197566151828,85.6529010481375,85.5381049040202
44,88,79.3512008267554,87.9407362128493,88.0478761447619,88.1319414062496,87.9759448948122,87.8283706875341
45,90,89.6994870380373,91.8474686566305,90.6125178092296,90.4504132367003,90.2270760377478,90.0448469244393
46,92,90.3512098079096,94.9761351687004,93.2212990836713,92.6889556732501,92.3864491630444,92.1820850967932
47,94,100.277072875287,95.295404570663,95.3208438026186,94.7140921595751,94.4307422898661,94.2362994595595
48,96,106.932656690395,98.6414602970271,97.1419178380463,96.6300711659137,96.3705895380557,96.217116689783
49,98,109.092732976144,98.9499378007141,98.7802677772695,98.3699138844391,98.2308927058884,98.1418255677613
50,100,91.3634717801129,99.5947639117459,99.8739226614282,100.029808502935,100.032401587502,100.038930975976
51,102,102.773590911304,100.688254460843,101.459729189133,101.710872143577,101.841665506376,101.941656329225
52,104,91.8588295638459,103.315918231193,102.791416838907,103.472535411529,103.700038183596,103.88064190912
53,106,94.8649925851324,102.63171935781,104.840561413141,105.299517844547,105.666187020544,105.879618304462
54,108,107.931506718967,106.396050264594,107.088289287112,107.378939591693,107.749819762615,107.958808873
55,110,125.326303082848,107.963273845449,109.473560713715,109.638679906453,109.943488597318,110.120203501359
56,112,104.303340862463,113.293949820349,111.569144808397,112.132955743076,112.223727473285,112.351495319561
57,114,117.713788127601,115.328859029541,114.429874891446,114.615237697429,114.586735567268,114.621784288598
58,116,113.744155977287,117.385154447067,117.277911392453,117.0665539865,116.971427904884,116.899510644096
59,118,129.173561388145,117.985006893964,120.251347695267,119.434207543301,119.319080911015,119.154881352999
60,120,109.109357049478,122.656829939156,122.216535093614,121.840574502423,121.558209803799,121.364356629009
61,122,122.32557464165,126.332305771647,124.247503310606,124.071785955005,123.693904251102,123.500375689988
62,124,129.525270211122,128.777327965143,126.047135611322,126.072250949368,125.731083559641,125.547716682033
63,126,137.006102178809,127.050261608782,128.413713522255,127.806857992567,127.690054405353,127.505388420435
64,128,143.44211895504,129.545636548486,130.048355059518,129.565098828548,129.538868994125,129.389684396827
65,130,130.859311331754,129.982580552079,131.281166352996,131.326809146278,131.302814849193,131.213266648753
66,132,117.084096893624,134.551052270493,132.393596997656,133.147003463284,133.022783079835,132.986463332384
67,134,126.576981627401,134.099320699996,134.524220945481,134.782276623823,134.748281638537,134.714654222601
68,136,125.3841826668,134.961984825996,136.579475534715,136.41940694048,136.458980014585,136.418053402719
69,138,161.50457224002,136.564342477762,138.78849583037,138.112028563865,138.14346034506,138.11661724368
70,140,133.843981185331,141.964629243559,139.860625646028,139.885347903478,139.787390636874,139.827868344063
71,142,149.48076783704,143.932418673119,141.50826727611,141.539987460883,141.462663254947,141.565602365366
72,144,142.075814894117,145.445722621664,143.129517716698,143.118171459605,143.192761735922,143.353729073956
73,146,154.886104254207,142.055960980102,144.806832374947,144.654515505982,145.001540782518,145.222821667832
74,148,140.351507634321,145.632812110569,146.106697847312,146.509184950339,146.912419787658,147.206908509289
75,150,135.977310306612,146.310737910108,147.62676352577,148.530096307304,148.975866974714,149.316350631362
76,152,137.776240749085,148.305545085509,149.542904155009,150.773481890037,151.22710850219,151.550597065613
77,154,158.881939098599,151.063687550112,152.843311756525,153.261500939456,153.675998527073,153.8954087924
78,156,154.226248433812,154.572878422329,155.65464677487,155.984117770274,156.228758109459,156.322280970138
79,158,156.039465121927,158.858707026334,158.833216795826,158.876862151936,158.832486775682,158.786826569853
80,160,174.193101506426,165.158814190713,162.222965720883,161.796745680168,161.415222870025,161.232971574686
81,162,164.915843739842,165.312157238985,165.165015663034,164.378502027039,163.900525031822,163.602717019119
82,164,165.978110534644,168.560728056797,167.875974197403,166.756196970861,166.227686172718,165.86297736003
83,166,181.876990899741,172.033787560912,169.982088852639,168.852634550441,168.35012353602,167.99482986205
84,168,159.955340436505,171.658037145168,170.915606184622,170.658616072035,170.264216638109,169.996805023429
85,170,176.966244158496,173.54958816291,172.298511381621,172.274245756546,172.050580495835,171.88320650946
86,172,180.350881650727,173.601509612987,173.508279852887,173.733923695048,173.755454289823,173.679202965888
87,174,171.56284859622,171.693435514597,174.864836372043,175.195397394795,175.429048999677,175.418044863379
88,176,178.156700864037,174.992493617977,176.474423454606,176.883049031119,177.105335434036,177.129332261081
89,178,166.34156068518,177.029107355656,178.093719766916,178.690313528775,178.799661367719,178.823039189241
90,180,168.520472211014,181.529683195004,180.21240475087,180.567797519425,180.522016818451,180.497691481267
91,182,183.048747160165,182.925146723113,182.72916763889,182.392621112544,182.243228422027,182.145177092724
92,184,191.22254032225,184.884662349078,184.949362865212,184.134527292329,183.906528992952,183.758631903329
93,186,211.854912526162,188.432304500665,186.650667787441,185.790411850168,185.478020334007,185.337275935923
94,188,181.331093292986,189.310775730733,187.638601523873,187.24387861983,186.961448279874,186.887153995956
95,190,191.873310245789,190.533860202231,188.6677667131,188.526153027597,188.399519108272,188.429351955583
96,192,191.17505574629,188.93824181126,189.684911671793,189.690752916154,189.850169595878,189.999492783452
97,194,174.66977082149,188.445219350028,190.386672138501,190.951793140497,191.371163238683,191.644408939984
98,196,191.610338460652,190.129303047703,191.70508849326,192.459116911329,193.038614139417,193.407249289137
99,198,180.053211585449,192.004677059932,193.101562085111,194.289080705567,194.897514788035,195.318069016504
100,200,208.403755297539,193.344627767618,195.477949357842,196.437367349805,196.992433429727,197.385925369718
101,202,193.11967917671,198.539690214047,198.189867919698,198.916034924972,199.30133072395,199.600259046244
102,204,205.000928331393,200.309175345192,201.477513272766,201.538457567921,201.775257199835,201.929753895039
103,206,200.554710700095,205.572952720376,204.722918181455,204.355183407999,204.325164068377,204.333664470345
104,208,211.035207946494,207.42864928302,207.737345164668,207.11407420006,206.871498974365,206.756898091733
105,210,203.996734378663,213.142820519178,210.062046993904,209.776602242518,209.345078080987,209.150262283777
106,212,216.899653211739,214.722511420753,212.818642965659,212.138428785366,211.724888815171,211.474690808998
107,214,221.393631236045,214.445616650111,214.790184902273,214.261711691719,213.955068779445,213.715325409655
108,216,233.118877829816,214.812603018702,216.827564216904,216.231088671323,216.054880068257,215.875290519454
109,218,216.058764642417,219.605347147471,218.010299072701,218.197132707208,218.046256876386,217.9722131617
110,220,198.616447305601,219.373746276674,219.585898525921,219.966443157922,220.009606272978,220.026779957984
111,222,213.604112526634,221.69030448544,221.522984021902,221.812753221741,221.991254742954,222.077247246258
112,224,237.545943280046,221.421964509756,223.824355245096,223.716239899426,224.023536576712,224.155561288834
113,226,215.278447116157,225.751707593295,225.203816120657,225.881874561506,226.106856389155,226.287600874186
114,228,237.609538697406,228.005215121973,227.714355349008,228.133250981551,228.308339797361,228.476161593876
115,230,231.240498000032,230.922201581063,230.151970960697,230.457061507627,230.603078366293,230.713782870594
116,232,246.366966227189,229.261573276399,233.169741707261,232.780371394312,232.970533973847,232.983137018581
117,234,214.39100000635,236.947520875133,235.345533466237,235.376827015362,235.329531310808,235.262773768011
118,236,234.023017740258,238.753613767259,237.789657704435,237.875923204265,237.654603679981,237.507383718773
119,238,225.921545147402,242.546359735706,240.087524451891,240.288429152308,239.909015612622,239.674999793655
120,240,269.080080307294,240.982249906126,243.379005468002,242.39485592023,242.064313635165,241.725822051176
121,242,250.252188942285,245.114084789361,245.208028671332,244.40875756576,244.020609452695,243.640616029329
122,244,257.789719779166,247.007268813252,247.039512596997,246.237945036114,245.77639089047,245.40695494404
123,246,235.418197420126,252.301940389178,247.914729082716,247.867457552118,247.326289776494,247.024719605156
124,248,243.313844188994,249.75068329844,249.442844984948,249.070897738072,248.733089157877,248.507488933921
