variableSide,hypotenuse
1.00,2090.00
51.00,2090.62
101.00,2092.44
151.00,2095.45
201.00,2099.64
251.00,2105.02
301.00,2111.56
351.00,2119.27
401.00,2128.12
451.00,2138.11
501.00,2149.21
551.00,2161.41
601.00,2174.70
651.00,2189.04
701.00,2204.43
751.00,2220.83
801.00,2238.24
851.00,2256.61
901.00,2275.94
951.00,2296.19
1001.00,2317.35
1051.00,2339.38
1101.00,2362.27
1151.00,2385.98
1201.00,2410.50
1251.00,2435.80
1301.00,2461.85
1351.00,2488.63
1401.00,2516.13
1451.00,2544.31
1501.00,2573.15
1551.00,2602.63
1601.00,2632.74
1651.00,2663.44
1701.00,2694.72
1751.00,2726.55
1801.00,2758.93
1851.00,2791.83
1901.00,2825.23
1951.00,2859.11
2001.00,2893.46
2051.00,2928.26
2101.00,2963.49
2151.00,2999.15
2201.00,3035.21
2251.00,3071.66
2301.00,3108.49
2351.00,3145.68
2401.00,3183.22
2451.00,3221.10
2501.00,3259.31
2551.00,3297.83
2601.00,3336.66
2651.00,3375.78
2701.00,3415.19
2751.00,3454.87
2801.00,3494.81
2851.00,3535.01
2901.00,3575.46
2951.00,3616.14
3001.00,3657.06
3051.00,3698.20
3101.00,3739.56
3151.00,3781.12
3201.00,3822.89
3251.00,3864.85
3301.00,3907.01
3351.00,3949.34
3401.00,3991.85
3451.00,4034.54
3501.00,4077.39
3551.00,4120.40
3601.00,4163.57
3651.00,4206.89
3701.00,4250.35
3751.00,4293.96
3801.00,4337.71
3851.00,4381.59
3901.00,4425.60
3951.00,4469.73
4001.00,4513.99
4051.00,4558.37
4101.00,4602.86
4151.00,4647.46
4201.00,4692.17
4251.00,4736.99
4301.00,4781.91
4351.00,4826.93
4401.00,4872.05
4451.00,4917.27
4501.00,4962.57
4551.00,5007.96
4601.00,5053.44
4651.00,5099.01
4701.00,5144.66
4751.00,5190.39
4801.00,5236.19
4851.00,5282.07
4901.00,5328.03
4951.00,5374.06
5001.00,5420.16
5051.00,5466.32
5101.00,5512.56
5151.00,5558.86
5201.00,5605.22
5251.00,5651.65
5301.00,5698.13
5351.00,5744.68
5401.00,5791.28
5451.00,5837.94
5501.00,5884.65
5551.00,5931.42
5601.00,5978.24
5651.00,6025.11
5701.00,6072.03
5751.00,6119.00
5801.00,6166.01
5851.00,6213.08
5901.00,6260.18
5951.00,6307.34
6001.00,6354.53
6051.00,6401.77
6101.00,6449.05
6151.00,6496.38
6201.00,6543.74
6251.00,6591.14
6301.00,6638.58
6351.00,6686.05
6401.00,6733.57
6451.00,6781.11
6501.00,6828.70
6551.00,6876.31
6601.00,6923.97
6651.00,6971.65
6701.00,7019.37
6751.00,7067.11
6801.00,7114.89
6851.00,7162.70
6901.00,7210.54
6951.00,7258.41
7001.00,7306.31
7051.00,7354.23
7101.00,7402.18
7151.00,7450.16
7201.00,7498.17
7251.00,7546.20
7301.00,7594.25
7351.00,7642.34
7401.00,7690.44
7451.00,7738.57
7501.00,7786.73
7551.00,7834.90
7601.00,7883.10
7651.00,7931.32
7701.00,7979.57
7751.00,8027.83
7801.00,8076.12
7851.00,8124.43
7901.00,8172.75
7951.00,8221.10
8001.00,8269.47
8051.00,8317.85
8101.00,8366.26
8151.00,8414.68
8201.00,8463.13
8251.00,8511.59
8301.00,8560.06
8351.00,8608.56
8401.00,8657.07
8451.00,8705.60
8501.00,8754.15
8551.00,8802.71
8601.00,8851.29
8651.00,8899.88
8701.00,8948.49
8751.00,8997.12
8801.00,9045.76
8851.00,9094.41
8901.00,9143.08
8951.00,9191.76
9001.00,9240.46
9051.00,9289.17
9101.00,9337.90
9151.00,9386.63
9201.00,9435.39
9251.00,9484.15
9301.00,9532.93
9351.00,9581.72
9401.00,9630.52
9451.00,9679.33
9501.00,9728.16
9551.00,9777.00
9601.00,9825.85
9651.00,9874.71
9701.00,9923.58
9751.00,9972.47
9801.00,10021.36
9851.00,10070.27
9901.00,10119.18
9951.00,10168.11
10001.00,10217.05
